title1,title2,label,average_shares_title1,average_shares_title2,average_shares
Here's What Obama's New Student Loan Moves Could Mean for You,"Oil Falls on Oversupply, Global Economic Growth Concerns",0,-0.10836156303419099,0.08983790656064938,-0.009261828236770804
Another France's False Flag Attack,Barack Obama enjoys a hike in windy weather with First Family in ...,0,-0.10836156303419099,0.08983790656064938,-0.009261828236770804
White House Twitter account misquotes Obama with 'impotence',Obama Set To Deliver Final State Of The Union Address,0,-0.10836156303419099,0.08983790656064938,-0.009261828236770804
Why isn't the digital economy making life better? Douglas Rushkoff ...,"After Grim Payrolls, Focus Turns to Economy",1,0.08983790656064938,-0.10836156303419099,-0.009261828236770804
Obama send Congress $1.9B request to combat Zika virus,"Palestine, South Africa and Frantz Fanon",0,-0.10836156303419099,0.09076904090218985,-0.008796261066000573
Obama's Latest Lifeline for Unions,Microsoft Announces Dates of Xbox Digital Black Friday Deals for India,0,-0.10836156303419099,0.09076904090218985,-0.008796261066000573
"Dropbox tries to reinvent as Microsoft, Apple, Box crowd cloud ...","For Obama's Legacy, a Few Bright Spots With Trump as Nominee",0,-0.10836156303419099,0.09170017524373035,-0.00833069389523032
Jimmy Fallon's Donald Trump Calls 'Barack Obama' to Gloat Over ...,NY Legislator Doubles Down on Condemnations of Pro-Palestinian ...,1,0.09170017524373035,-0.10836156303419099,-0.00833069389523032
Obama Vows Commitment to Maritime Security,President Obama on Istanbul Bombing: ‘We Stand With the People of Turkey’,0,-0.10836156303419099,0.09170017524373035,-0.00833069389523032
Microsoft announces $1bn cloud pledge for public good,"Venezuelan opposition wants prisoners free, economy revamped ...",0,-0.10836156303419099,0.09170017524373035,-0.00833069389523032
Obama to talk trade with Asia Pacific Economic Cooperation group,Obama and daughters purchase prose and ice pops on Small Business Saturday,0,-0.10836156303419099,0.09170017524373035,-0.00833069389523032
"OECD sounds pessimistic note about world economy, lowers Canadian growth estimates","Fed: US economy is growing, but unevenly",0,-0.10836156303419099,0.09180150064364861,-0.008280031195271188
Volvo partners with Microsoft for augmented reality showroom ...,Microsoft dumps Nokia feature phones,1,0.09180150064364861,-0.10836156303419099,-0.008280031195271188
Greek economy grows 0.1 pct q/q in fourth quarter,BRIEF-Microsoft says signed an agreement to acquire Xamarin,0,-0.10836156303419099,0.09180150064364861,-0.008280031195271188
Icertis partners with Microsoft to take on its Salesforce ecosystem ...,"Carbon plan helps the environment, economy",1,0.09180150064364861,-0.10836156303419099,-0.008280031195271188
"Lack of competition law, policy, hurting economy- Private Sector",Samsung tries to fight Microsoft's Surface with new Galaxy TabPro S,1,0.09180150064364861,-0.10836156303419099,-0.008280031195271188
"Send digital gift cards to military service members, Microsoft will ...","Palestine WC qualifiers vs. Malaysia, Saudi Arabia moved to Jordan",1,0.09180150064364861,-0.10836156303419099,-0.008280031195271188
Russia-Ukraine deal implementation possible by early 2017: Obama ...,Nik Nanos: Polls show Canadians not optimistic about the economy,0,-0.10836156303419099,0.09180150064364861,-0.008280031195271188
Group wants Cambridge to be the 'leading UK circular economy ...,Unhappy New Year: The U.S. Economy Is Stalling Out,1,0.09180150064364861,-0.10836156303419099,-0.008280031195271188
You'll Never Have To Buy Microsoft Office 2016 Again,"Lower oil prices hit UAE and Saudi Arabia economies, latest PMI ...",0,-0.10836156303419099,0.09180150064364861,-0.008280031195271188
AirAsia X service to Auckland worth $176 million a year to economy,"Obama, Hollande Discuss Foreign Policy at the White House",1,0.09180150064364861,-0.10836156303419099,-0.008280031195271188
Asian Development Bank looks at Myanmar's fiscal 2016-17 economy,Messi 'would be proud' to meet Obama,1,0.09180150064364861,-0.10836156303419099,-0.008280031195271188
The Canadian upending how the IMF thinks about the economy,Family of flood victims says grandmother died trying to save grandchildren,1,0.09180150064364861,-0.10836156303419099,-0.008280031195271188
"Microsoft smells Musk, splashes on 'Mune' space program","State Of The Obama Economy: Far Better, But Still With Many Troubles",1,0.09180150064364861,-0.10836156303419099,-0.008280031195271188
McAuliffe loses another top lieutenant on economy,Obama wants to hear what children have to say about science ...,1,0.0919243268284932,-0.10836156303419099,-0.008218618102848893
Palestinian Authority premier urges EU to boycott Israeli products,Has the global economic growth malaise become the 'new normal'?,1,0.0919243268284932,-0.10836156303419099,-0.008218618102848893
A Rough Economic Year Ahead for Cuba,Indonesia leader calls on Muslim world to unite on Palestine,1,0.0919243268284932,-0.10836156303419099,-0.008218618102848893
Microsoft initiates Windows Dev Center Tips program to help ...,"Japan economy shrinks more than expected, highlights lack of policy options",1,0.0919243268284932,-0.10836156303419099,-0.008218618102848893
Recasting the Rules over Palestine: An Intellectual Intifada in the ...,President Barack Obama Has Been Briefed on Orlando Nightclub ...,0,-0.10836156303419099,0.0919243268284932,-0.008218618102848893
"Obama in 'excellent' health, still using nicotine gum -doctor",Microsoft Lumia 950 review,0,-0.10836156303419099,0.0919243268284932,-0.008218618102848893
"Economy to see rising external, internal uncertainties: Report",Microsoft Faces New Scrutiny in China,1,0.0919243268284932,-0.10836156303419099,-0.008218618102848893
Apple iPad Pro 9.7 vs Microsoft Surface Pro 4: Microsoft Surface Pro ...,We must not let Syria's Palestinian refugees be forgotten in fog of war,1,0.0919243268284932,-0.10836156303419099,-0.008218618102848893
"In Bulgaria, Palestinian terrorist's widow says shunned by investigators",Review: Updated: Microsoft Lumia 950,1,0.0919243268284932,-0.10836156303419099,-0.008218618102848893
Low Oil Prices Forcing Saudi Arabia To Modernize Economy,Uganda: Growth of Digital Economy Should Concern URA,0,-0.10836156303419099,0.0919243268284932,-0.008218618102848893
Keller @ Large: Pros And Cons Of Obama Endorsement For Clinton,National museum aims to preserve Palestinian history,1,0.0919243268284932,-0.10836156303419099,-0.008218618102848893
Microsoft calls out Amazon's humble hybrid cloud,'Forget the housing ladder - it's bad for our economy': Gerard Lyons ...,0,-0.10836156303419099,0.0919243268284932,-0.008218618102848893
Obama sends more Special Forces to Syria in fight against IS,Central Banker: Poland is a matured and affluent European economy,0,-0.10836156303419099,0.0919243268284932,-0.008218618102848893
SAP & Microsoft to Boost Cloud Capabilities for Clients,Sharing Economy: No Airbnb IPO Likely Anytime Soon,0,-0.10836156303419099,0.0919243268284932,-0.008218618102848893
Obama offers to work with Russia against ISIS under one condition,"Ethiopia: Multifaceted Effort to Build Green Economy, Mitigate Effects ...",0,-0.10836156303419099,0.0919243268284932,-0.008218618102848893
"Tuesday, 26 Apr 2016",New Photos Of Microsoft's Cancelled McLaren Phone Surfaces,0,-0.10836156303419099,0.0919243268284932,-0.008218618102848893
How to delete duplicates in Microsoft Excel,"UK economy slows as global weakness, Brexit uncertainty weigh",1,0.0919243268284932,-0.10836156303419099,-0.008218618102848893
Microsoft awards Affordable Access Initiative grant to support global ...,Obama Picks White Judge As Apex Court Nominee,1,0.0919243268284932,-0.10836156303419099,-0.008218618102848893
Photo roundup of President Obama's visit to the Treasure Coast,Microsoft Develops Next-Generation Endpoint Security Offering,1,0.0919243268284932,-0.10836156303419099,-0.008218618102848893
Salt Lake City joins in defending Obama's immigration actions,8 Microsoft Word features that will take you to the next level,1,0.0919243268284932,-0.10836156303419099,-0.008218618102848893
"China, US set for talks on economy, maritime differences",'Back to reality' for economy as country registers 0.1 per cent growth in August,1,0.0919243268284932,-0.10836156303419099,-0.008218618102848893
Canadian media is ignoring evidence of 1948 Israeli massacres,Yahoo Top 10 Gadgets Search 2015: Apple devices dominate over ...,0,-0.10836156303419099,0.0919243268284932,-0.008218618102848893
"841000 jobs created in 2015, economy grew 5.6% - Economic Survey",Clay looks to build economy on growing health care industry,1,0.0919243268284932,-0.10836156303419099,-0.008218618102848893
Africa: From Ethiopian Solidarity to Palestinian Solidarity ...,Some Microsoft OneDrive for Business users to get unlimited storage,1,0.0919243268284932,-0.10836156303419099,-0.008218618102848893
Obama Treads Fine Line With Carrot-and-Stick Approach on Iran,The 10 Biggest Microsoft Stories Of 2015,0,-0.10836156303419099,0.0919243268284932,-0.008218618102848893
